chr	start	end	strand	peak	position	Quality
chr1	47476943	47476944	+	3	47476944	2383.5
chr1	48483964	48483988	+	4	48483965	216.45
chr1	48851917	48851921	+	15	48851918	3135.07
chr1	49494275	49494276	+	5	49494276	311.48
chr1	49995825	49995826	+	2	49995826	203.34
chr1	51711514	51711515	+	10	51711515	463.86
chr1	51990236	51990237	+	1	51990237	28.38
chr1	52182235	52182236	+	10	52182236	4120.36
chr1	52846341	52846342	+	3	52846342	24.1
chr1	53284284	53284285	+	10	53284285	36.31
chr1	58994353	58994359	+	4	58994354	341.08
chr1	59150529	59150531	+	4	59150530	20.3
chr1	61605398	61605400	+	2	61605399	2602.62
chr1	61605400	61605414	+	2	61605399	2602.62
chr1	62109209	62109211	+	1	62109210	2043.68
chr1	63421858	63421859	+	6	63421859	13.29
chr1	63846116	63846124	+	5	63846117	180.69
chr1	68876876	68876877	+	6	68876877	27.48
chr1	68963806	68963807	+	2	68963807	514.38
chr1	68963808	68963809	+	2	68963809	76.07
chr1	69200350	69200351	+	1	69200351	802.29
chr1	69200352	69200353	+	1	69200353	805.57
chr1	69887689	69887690	+	2	69887690	2630.35
chr1	69887690	69887691	+	2	69887691	2630.35
chr1	70673112	70673113	+	6	70673113	30.31
chr1	70673119	70673120	+	6	70673120	31.34
chr1	70673123	70673124	+	6	70673124	31.65
chr1	70673125	70673126	+	6	70673126	28.65
chr1	70673127	70673128	+	6	70673128	28.65
chr1	70673129	70673130	+	6	70673130	28.65
chr1	70673131	70673135	+	6	70673132	13.79
chr1	70673139	70673141	+	6	70673140	16.46
chr1	70673145	70673150	+	6	70673146	11.11
chr1	70748838	70748839	+	1	70748839	466.2
chr1	70748843	70748844	+	1	70748844	417.24
chr1	73696219	73696220	+	4	73696220	1842.38
chr1	74008783	74008787	+	1	74008784	82.54
chr1	74451766	74451767	+	3	74451767	244.91
chr1	77355901	77355902	+	2	77355902	1155.05
chr1	77355903	77355904	+	2	77355904	1152.05
chr1	77368022	77368023	+	1	77368023	52.43
chr1	78532363	78532364	+	2	78532364	64.86
chr1	79314922	79314923	+	1	79314923	231.63
chr1	79512700	79512701	+	7	79512701	291.96
chr1	79641765	79641766	+	2	79641766	282.05
chr1	79641773	79641774	+	2	79641774	321.05
chr1	79938962	79938963	+	9	79938963	28.39
chr1	79938967	79938968	+	9	79938968	31.38
chr1	79938974	79938975	+	9	79938975	34.38
chr1	80164550	80164551	+	1	80164547	25.61
chr1	80441443	80441444	+	5	80441444	27.31
chr1	83363241	83363242	+	3	83363242	89.1
chr1	83363247	83363248	+	3	83363248	117.93
chr1	83373626	83373627	+	1	83373627	55.08
chr1	85049227	85049229	+	1	85049228	16.37
chr1	85195570	85195572	+	3	85195571	756.01
chr1	85491042	85491045	+	2	85491043	72.26
chr1	85491043	85491044	+	2	85491044	2182.41
chr1	85623125	85623126	+	1	85623126	11.05
chr1	85828778	85828779	+	11	85828779	73.65
chr1	85928077	85928078	+	7	85928078	230.05
chr1	86165677	86165678	+	7	86165678	34.95
chr1	86165744	86165745	+	1	86165745	62.86
chr1	86487430	86487431	+	4	86487431	4363.34
chr1	86781707	86781708	+	1	86781708	470.11
chr1	87147354	87147356	+	1	87147355	575.87
chr1	88193942	88193943	+	7	88193943	21.37
chr1	88235090	88235091	+	3	88235091	2984.42
chr1	89494920	89494921	+	1	89494921	1230.97
chr1	89494921	89494922	+	1	89494922	1230.97
chr1	89494963	89494964	+	2	89494964	1596.5
chr1	91627975	91627976	+	2	91627976	19.4
chr1	91627978	91627979	+	2	91627979	13.61
chr1	91964909	91964912	+	2	91964910	2792.48
chr1	93123257	93123258	+	5	93123258	75.47
chr1	94397687	94397689	+	7	94397688	2588.29
chr1	94864815	94864816	+	1	94864816	1025.05
chr1	95044267	95044268	+	2	95044268	194.45
chr1	95044275	95044276	+	2	95044276	191.45
chr1	95394599	95394600	+	1	95394600	34.44
chr1	95394600	95394601	+	1	95394600	34.44
chr1	96532540	96532541	+	5	96532541	276.01
chr1	96734463	96734466	+	7	96734464	755.09
chr1	99057221	99057223	+	3	99057222	807.26
chr1	99211445	99211448	+	2	99211446	2057.59
chr1	99604843	99604845	+	3	99604844	1367.08
chr1	100538588	100538589	+	1	100538589	33.42
chr1	100801007	100801008	+	1	100801008	17.57
chr1	101557131	101557132	+	1	101557132	509.01
chr1	101557138	101557139	+	1	101557139	380.37
chr1	101557145	101557146	+	1	101557146	521.05
chr1	102314440	102314441	+	3	102314441	1970.38
chr1	103668709	103668710	+	1	103668710	198.9
chr1	106431250	106431268	+	7	106431194	76.2
chr1	106861206	106861207	+	2	106861207	52.81
chr1	107004717	107004723	+	1	107004718	170.94
chr1	107575003	107575004	+	3	107575004	2537.35
chr1	107599827	107599828	+	2	107599828	303.07
chr1	107599834	107599835	+	2	107599835	309.07
chr1	108265453	108265454	+	2	108265454	46.54
chr1	108467043	108467044	+	1	108467044	36.43
chr1	108689288	108689290	+	1	108689289	409.88
chr1	109138569	109138573	+	2	109138570	13.5
chr1	109279190	109279195	+	2	109279191	1877.7
chr1	111353566	111353567	+	1	111353567	77.63
chr1	112224860	112224861	+	6	112224861	23.67
chr1	112225394	112225395	+	5	112225395	79.02
chr1	112556965	112556972	+	6	112556966	835.2
chr1	113598221	113598222	+	4	113598222	134.61
chr1	113598229	113598230	+	4	113598230	73.09
chr1	114225224	114225231	+	3	114225225	1865.31
chr1	114714011	114714012	+	1	114714012	27.94
chr1	115608250	115608273	+	7	115608249	2285.52
chr1	117370737	117370738	+	1	117370738	1225.49
chr1	117693570	117693571	+	3	117693571	510.05
chr1	117693574	117693575	+	3	117693575	501.01
chr1	117693582	117693583	+	3	117693583	636.05
chr1	117693590	117693591	+	3	117693591	636.05
chr1	117693663	117693668	+	5	117693664	422.88
chr1	117854164	117854173	+	3	117854165	1335.86
chr1	118318978	118319000	+	2	118318979	755.63
chr1	118574061	118574062	+	1	118574062	69.32
chr1	118574080	118574081	+	1	118574081	54.31
chr1	118574084	118574085	+	1	118574085	54.31
chr1	118574086	118574087	+	1	118574087	54.3
chr1	118574091	118574092	+	1	118574092	54.3
chr1	119002050	119002057	+	3	119002043	1017.84
chr1	120092861	120092862	+	1	120092862	23.39
chr1	120132953	120132954	+	1	120132954	20.56
chr1	120157785	120157786	+	1	120157786	76.31
chr1	120450577	120450578	+	2	120450578	2053.99
chr1	120450579	120450580	+	2	120450580	2053.99
chr1	120501754	120501755	+	1	120501755	36.78
chr1	120501757	120501758	+	1	120501758	27.9
chr1	120791167	120791168	+	1	120791168	71.93
chr1	120791648	120791649	+	2	120791649	13.31
chr1	120792505	120792507	+	3	120792506	2459.97
chr1	120814645	120814646	+	3	120814646	75.49
chr1	120819768	120819769	+	2	120819769	21.64
chr1	120913177	120913178	+	1	120913178	78.66
chr1	120923195	120923196	+	3	120923196	12.18
chr1	121153241	121153242	+	1	121153242	557.71
chr1	121256163	121256165	+	1	121256164	546.01
chr1	121271101	121271104	+	5	121271102	2686.64
chr1	121309763	121309764	+	2	121309764	17.74
chr1	143186727	143186728	+	1	143186728	223.33
chr1	143186771	143186772	+	1	143186772	574.9
chr1	143189210	143189211	+	1	143189211	17.85
chr1	143189309	143189310	+	8	143189310	35.93
chr1	143189887	143189888	+	1	143189888	21.33
chr1	143190355	143190356	+	1	143190356	344.05
chr1	143191630	143191631	+	2	143191631	44.37
chr1	143192223	143192224	+	5	143192224	22.36
chr1	143192829	143192830	+	6	143192830	782.45
chr1	143196455	143196456	+	4	143196456	24.51
chr1	143196490	143196491	+	4	143196491	154.61
chr1	143196620	143196621	+	1	143196621	19.38
chr1	143196621	143196622	+	1	143196622	16.43
chr1	143196683	143196684	+	3	143196684	315.12
chr1	143196685	143196686	+	3	143196686	91.35
chr1	143196707	143196708	+	3	143196708	255.08
chr1	143201011	143201038	+	1	143201012	13.25
chr1	143201134	143201135	+	2	143201135	716.9
chr1	143201137	143201138	+	2	143201138	695.9
chr1	143201142	143201143	+	2	143201143	678.9
chr1	143201835	143201836	+	4	143201836	13.57
chr1	143203700	143203701	+	2	143203701	92.83
chr1	143206328	143206329	+	3	143206329	40.78
chr1	143206827	143206828	+	2	143206828	93.52
chr1	143206839	143206840	+	2	143206840	386.76
chr1	143206849	143206850	+	2	143206850	56.61
chr1	143206934	143206935	+	1	143206935	25.44
chr1	143207141	143207142	+	3	143207142	45.33
chr1	143207953	143207954	+	2	143207954	17.26
chr1	143209510	143209511	+	1	143209511	2349.49
chr1	143209835	143209836	+	3	143209836	37.34
chr1	143209836	143209837	+	3	143209837	37.34
chr1	143209855	143209856	+	3	143209856	34.34
chr1	143209857	143209858	+	3	143209858	34.41
chr1	143210896	143210897	+	1	143210897	1148.05
chr1	143212348	143212349	+	1	143212349	11.28
chr1	143213040	143213041	+	3	143213041	43784.33
chr1	143213402	143213403	+	2	143213403	139.61
chr1	143213804	143213805	+	2	143213805	66.67
chr1	143213914	143213915	+	2	143213915	2375.91
chr1	143214151	143214152	+	5	143214152	14.92
chr1	143214166	143214167	+	5	143214167	13.58
chr1	143216416	143216417	+	8	143216417	1437.13
chr1	143216570	143216571	+	1	143216571	3699.05
chr1	143217192	143217193	+	1	143217193	40.3
chr1	143218648	143218649	+	2	143218649	661.61
chr1	143220003	143220004	+	3	143220004	175.3
chr1	143220016	143220018	+	3	143220017	2775.01
chr1	143220503	143220504	+	3	143220504	385.61
chr1	143222359	143222360	+	5	143222360	90.78
chr1	143222523	143222524	+	1	143222524	438.33
chr1	143223896	143223897	+	4	143223897	41.67
chr1	143226205	143226206	+	1	143226206	13.57
chr1	143226227	143226228	+	1	143226228	13.6
chr1	143226233	143226234	+	1	143226234	10.79
chr1	143233456	143233457	+	2	143233457	15.49
chr1	143233649	143233650	+	2	143233650	6104.91
chr1	143233658	143233659	+	2	143233659	14.79
chr1	143234212	143234213	+	2	143234213	153.9
chr1	143234216	143234217	+	2	143234217	162.99
chr1	143234239	143234240	+	2	143234240	306.9
chr1	143234258	143234259	+	2	143234259	321.92
chr1	143234259	143234260	+	2	143234260	321.92
chr1	143234475	143234479	+	10	143234476	473.86
chr1	143234481	143234482	+	10	143234482	488.9
chr1	143234498	143234499	+	10	143234499	533.9
chr1	143234618	143234619	+	1	143234619	65.3
chr1	143235215	143235216	+	1	143235216	30.34
chr1	143235237	143235238	+	1	143235238	28.93
chr1	143235241	143235242	+	1	143235242	28.43
chr1	143235762	143235763	+	2	143235763	43.33
chr1	143235919	143235920	+	1	143235920	6339.43
chr1	143236289	143236290	+	1	143236290	4423.39
chr1	143236309	143236310	+	1	143236310	278.27
chr1	143237592	143237593	+	2	143237593	2600.34
chr1	143237767	143237768	+	3	143237768	97.34
chr1	143237792	143237793	+	3	143237793	502.05
chr1	143238565	143238566	+	2	143238566	26.16
chr1	143239126	143239127	+	1	143239127	17.74
chr1	143239859	143239860	+	2	143239860	104.33
chr1	143239910	143239911	+	2	143239911	3155.05
chr1	143239967	143239968	+	3	143239968	1814.05
chr1	143240042	143240043	+	1	143240043	904.13
chr1	143240245	143240246	+	5	143240246	160.3
chr1	143240514	143240515	+	1	143240515	250.61
chr1	143240545	143240546	+	1	143240546	271.61
chr1	143240646	143240648	+	1	143240647	37.36
chr1	143241121	143241122	+	1	143241122	44.7
chr1	143241200	143241201	+	3	143241201	47.67
chr1	143241208	143241209	+	3	143241209	34.5
chr1	143243638	143243639	+	1	143243639	46.73
chr1	143243642	143243643	+	1	143243643	46.43
chr1	143243721	143243722	+	2	143243722	46.05
chr1	143243742	143243743	+	2	143243743	47.69
chr1	143244257	143244258	+	3	143244258	16.35
chr1	143244505	143244506	+	2	143244506	104.98
chr1	143244511	143244512	+	2	143244512	49.91
chr1	143245631	143245632	+	2	143245632	107.42
chr1	143245632	143245633	+	2	143245633	456.9
chr1	143245633	143245634	+	2	143245634	397.9
chr1	143245860	143245861	+	1	143245861	263.61
chr1	143246013	143246014	+	3	143246014	245.36
chr1	143246277	143246278	+	1	143246278	26.21
chr1	143246919	143246920	+	2	143246920	16.4
chr1	143247536	143247537	+	1	143247537	33.3
chr1	143247630	143247631	+	9	143247631	448.91
chr1	143247638	143247639	+	9	143247639	586.91
chr1	143247639	143247640	+	9	143247640	130.41
chr1	143247654	143247655	+	2	143247655	522.05
chr1	143247655	143247656	+	2	143247656	522.05
chr1	143247672	143247673	+	2	143247673	284.13
chr1	143247730	143247750	+	4	143247731	146.59
chr1	143247750	143247800	+	3	143247731	146.59
chr1	143247800	143247850	+	1	143247731	146.59
chr1	143247850	143247900	+	3	143247731	146.59
chr1	143251675	143251676	+	3	143251676	4724.05
chr1	143251677	143251678	+	3	143251678	4748.05
chr1	143251695	143251696	+	3	143251696	6661.05
chr1	143251709	143251710	+	1	143251710	7032.05
chr1	143252971	143252972	+	2	143252972	3409.05
chr1	143253272	143253273	+	6	143253273	444.9
chr1	143253488	143253489	+	2	143253489	790.13
chr1	143254084	143254085	+	1	143254085	119.8
chr1	143254305	143254306	+	3	143254306	148.43
chr1	143254323	143254324	+	3	143254324	172.67
chr1	143254328	143254329	+	3	143254329	174.33
chr1	143254339	143254340	+	3	143254340	42.09
chr1	143255104	143255105	+	2	143255105	38.61
chr1	143255120	143255121	+	2	143255121	38.7
chr1	143255686	143255687	+	2	143255687	211.06
chr1	143257762	143257763	+	2	143257763	653.05
chr1	143262988	143262989	+	4	143262989	254.33
chr1	143264079	143264080	+	1	143264080	37.72
chr1	143264357	143264358	+	1	143264358	62.67
chr1	143264513	143264514	+	2	143264514	57.61
chr1	143265420	143265421	+	1	143265421	176.67
chr1	143266608	143266609	+	8	143266609	146.67
chr1	143267212	143267213	+	1	143267213	11978.05
chr1	143275509	143275510	+	1	143275510	11.61
chr1	143279410	143279411	+	5	143279411	48.4
chr1	143279411	143279412	+	5	143279412	47
chr1	143279418	143279419	+	5	143279419	46.97
chr1	143279421	143279422	+	5	143279422	43.54
chr1	143283868	143283869	+	8	143283869	41.62
chr1	143283898	143283899	+	8	143283899	41.67
chr1	143283913	143283915	+	3	143283914	40.61
chr1	143283937	143283938	+	3	143283938	53.61
chr1	143283945	143283946	+	3	143283946	53.61
chr1	143283972	143283973	+	11	143283973	146.67
chr1	143283974	143283975	+	11	143283975	146.67
chr1	143283979	143283980	+	11	143283980	61.03
chr1	143287214	143287215	+	1	143287215	2668.64
chr1	143287229	143287230	+	1	143287230	16.74
chr1	143287246	143287247	+	1	143287247	49.69
chr1	143354657	143354658	+	2	143354658	11.91
chr1	143498840	143498841	+	1	143498841	71.92
chr1	143499051	143499052	+	4	143499052	81.67
chr1	143499212	143499213	+	6	143499213	63.6
chr1	143499215	143499216	+	6	143499216	65.73
chr1	143499326	143499327	+	4	143499327	156.05
chr1	143502584	143502588	+	1	143502585	821.38
chr1	143521750	143521751	+	1	143521751	31.93
chr1	143532132	143532133	+	3	143532133	10.59
chr1	143534079	143534080	+	17	143534080	250.05
chr1	143536801	143536803	+	2	143536802	157.45
chr1	143536818	143536819	+	2	143536819	237.49
chr1	143536827	143536828	+	2	143536828	236.35
chr1	143537540	143537541	+	6	143537541	183.38
chr1	143538752	143538753	+	8	143538753	642.18
chr1	143539419	143539420	+	3	143539420	17.69
chr1	143539429	143539430	+	3	143539430	23.63
chr1	143539438	143539439	+	3	143539439	20.65
chr1	143539501	143539502	+	4	143539502	119.61
chr1	143539523	143539524	+	4	143539524	173.61
chr1	143539636	143539637	+	8	143539637	29.62
chr1	143539778	143539782	+	2	143539779	539.86
chr1	143539783	143539788	+	2	143539784	535.01
chr1	143539823	143539824	+	11	143539824	214.96
chr1	143540624	143540625	+	4	143540625	533.01
chr1	143541129	143541130	+	1	143541130	48.3
chr1	143752318	143752319	+	3	143752319	84.3
chr1	143752348	143752349	+	3	143752349	81.3
chr1	143756200	143756201	+	2	143756201	138.32
chr1	143756203	143756204	+	2	143756204	128.28
chr1	143903604	143903605	+	1	143903605	33.39
chr1	143909200	143909201	+	1	143909201	104.96
chr1	144037233	144037234	+	3	144037234	23.7
chr1	144077495	144077496	+	7	144077496	80.06
chr1	144827137	144827138	+	3	144827138	113.64
chr1	144883342	144883343	+	1	144883343	124.01
chr1	144907142	144907143	+	1	144907143	374.58
chr1	144925033	144925034	+	9	144925034	135.32
chr1	144925034	144925035	+	9	144925035	135.32
chr1	144925726	144925747	+	5	144925727	250.81
chr1	144936598	144936599	+	7	144936599	70.55
chr1	145071761	145071762	+	2	145071762	418.27
chr1	145129223	145129224	+	10	145129224	151.32
chr1	145129248	145129249	+	10	145129249	267.05
chr1	145129320	145129321	+	11	145129321	140.22
chr1	145217761	145217762	+	4	145217762	29.6
chr1	145227347	145227350	+	3	145227348	535.01
chr1	145257748	145257749	+	3	145257749	17.87
chr1	145271160	145271161	+	8	145271161	36.34
chr1	145272129	145272130	+	4	145272130	55.68
chr1	145314268	145314269	+	2	145314269	50.79
chr1	145395325	145395326	+	1	145395326	272.27
chr1	145396699	145396700	+	2	145396700	17.49
chr1	145516607	145516608	+	5	145516608	134.43
chr1	145574817	145574818	+	2	145574818	60.2
chr1	145675909	145675910	+	1	145675910	60.67
chr1	146069418	146069419	+	1	146069419	31.97
chr1	146069629	146069630	+	2	146069630	139.44
chr1	146121676	146121677	+	1	146121677	146.08
chr1	146135789	146135790	+	1	146135790	90.96
chr1	146139825	146139826	+	1	146139826	12.29
chr1	146417396	146417397	+	3	146417397	39.11
chr1	146417497	146417498	+	2	146417498	29.5
chr1	146456600	146456601	+	2	146456601	34.44
chr1	146457304	146457305	+	1	146457305	99.37
chr1	146457397	146457398	+	1	146457398	46.3
chr1	146501189	146501190	+	7	146501190	54.65
chr1	146608038	146608039	+	4	146608039	22.56
chr1	146644837	146644841	+	1	146644838	1484.37
chr1	146682407	146682408	+	5	146682408	268.05
chr1	146723428	146723429	+	1	146723429	444.05
chr1	146847891	146847892	+	1	146847892	39.25
chr1	146977987	146977988	+	2	146977988	25.81
chr1	148015377	148015378	+	5	148015378	14.94
chr1	148277137	148277146	+	2	148277138	1760.93
chr1	148535807	148535808	+	4	148535808	85.07
chr1	148536761	148536762	+	3	148536762	14.68
chr1	148604989	148604990	+	2	148604990	134.14
chr1	148608467	148608468	+	1	148608468	28.12
chr1	148613100	148613101	+	1	148613101	36.68
chr1	148625395	148625396	+	1	148625396	13.8
chr1	148681181	148681182	+	1	148681182	213.05
chr1	148846429	148846430	+	4	148846430	58.59
chr1	148888239	148888240	+	3	148888240	285.9
chr1	148902596	148902597	+	3	148902597	30.68
chr1	148953096	148953097	+	6	148953097	155.77
chr1	149046451	149046452	+	4	149046452	23
chr1	149079775	149079776	+	2	149079776	73.37
chr1	149080804	149080805	+	2	149080805	118.61
chr1	149176406	149176407	+	1	149176407	40.34
chr1	149176407	149176408	+	1	149176408	40.34
chr1	149368032	149368033	+	4	149368033	296.05
chr1	149402191	149402192	+	1	149402192	22.96
chr1	149412897	149412900	+	1	149412898	720.74
chr1	149412900	149412902	+	7	149412898	720.74
chr1	149417096	149417100	+	1	149417097	2519.35
chr1	149521182	149521183	+	1	149521183	15.31
chr1	149625077	149625078	+	1	149625078	334.05
chr1	149633096	149633097	+	1	149633097	32.3
chr1	149652382	149652383	+	1	149652383	14.69
chr1	149653946	149653947	+	1	149653947	84.61
chr1	149662837	149662838	+	1	149662838	22.68
chr1	149819768	149819769	+	13	149819769	25.68
chr1	149827870	149827871	+	5	149827871	26.71
chr1	150099331	150099333	+	4	150099332	2147.27
chr1	150466024	150466035	+	1	150466025	28.85
chr1	150546194	150546196	+	1	150546195	1938.37
chr1	150581935	150581938	+	1	150581936	25.31
chr1	150581938	150581939	+	1	150581939	34.34
chr1	150581941	150581942	+	1	150581942	36.31
chr1	151152351	151152352	+	1	151152352	28.57
chr1	151351576	151351577	+	2	151351577	3193.39
chr1	151351577	151351582	+	2	151351578	3105.34
chr1	152214825	152214830	+	4	152214826	198.49
chr1	152214833	152214834	+	4	152214834	236.56
chr1	152234062	152234063	+	2	152234063	550.91
chr1	152434299	152434300	+	1	152434300	68.61
chr1	152434300	152434301	+	23	152434301	68.61
chr1	153044195	153044196	+	3	153044196	20.33
chr1	153251802	153251803	+	1	153251803	12.59
chr1	153524723	153524724	+	3	153524724	2583.18
chr1	153607093	153607097	+	7	153607094	47.3
chr1	153690140	153690141	+	1	153690141	730.95
chr1	153917183	153917184	+	5	153917184	13.55
chr1	153917184	153917185	+	5	153917185	13.55
chr1	153917190	153917191	+	5	153917191	16.3
chr1	153986402	153986403	+	1	153986403	16.43
chr1	153986409	153986410	+	1	153986410	19.45
chr1	154209752	154209754	+	5	154209753	1314.87
chr1	154277331	154277342	+	7	154277332	1166.87
chr1	155348894	155348895	+	4	155348895	275.91
chr1	155348896	155348897	+	4	155348897	298.91
chr1	155635011	155635012	+	1	155635012	454.99
chr1	155786775	155786777	+	3	155786776	37.38
chr1	155848901	155848903	+	5	155848902	16.4
chr1	155848922	155848923	+	5	155848923	16.44
chr1	155997571	155997573	+	3	155997572	580.97
chr1	156181372	156181374	+	5	156181373	2596.86
